,UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
0,1,2015-01-02,DOG,"Poodle, Standard",3.0,M,True,Brooklyn,11238
1,2,2015-01-02,DOG,HUSKY,,U,False,Brooklyn,11249
2,3,2015-01-02,DOG,,,U,False,Brooklyn,0
3,4,2015-01-01,DOG,American Pit Bull Terrier/Pit Bull,6.0,M,False,Brooklyn,11221
4,5,2015-01-03,DOG,American Pit Bull Terrier/Pit Bull,1.0,M,False,Brooklyn,11207
5,6,2015-01-05,DOG,American Pit Bull Terrier/Pit Bull,1.0,F,False,Brooklyn,11209
6,7,2015-01-04,DOG,MORKIE,1.0,M,False,Brooklyn,11220
7,8,2015-01-05,DOG,Chihuahua,1.0,M,False,Brooklyn,11237
8,9,2015-01-04,DOG,PIT BULL MIXED,,M,False,Brooklyn,11215
9,10,2015-01-04,DOG,,,U,False,Brooklyn,11221
10,11,2015-01-02,DOG,,,U,False,Brooklyn,0
11,12,2015-01-02,DOG,Cocker Spaniel Crossbreed,,U,False,Brooklyn,11220
12,13,2015-01-05,DOG,Shih Tzu,4.0,F,False,Brooklyn,11205
13,14,2015-01-01,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11220
14,15,2015-01-07,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,0
15,16,2015-01-05,DOG,Shih Tzu,3.0,M,True,Brooklyn,11224
16,17,2015-01-09,DOG,Pit Bull,2.0,M,True,Brooklyn,11213
17,18,2015-01-10,DOG,Mixed/Other,7.0,M,True,Brooklyn,0
18,19,2015-01-10,DOG,Yorkshire Terrier,1.0,F,False,Brooklyn,11237
19,20,2015-01-13,DOG,Dachshund Smooth Coat,12.0,M,True,Brooklyn,11217
20,21,2015-01-12,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11208
21,22,2015-01-16,DOG,American Pit Bull Mix / Pit Bull Mix,2.0,M,False,Brooklyn,11235
22,23,2015-01-12,DOG,Shih Tzu,2.0,M,False,Brooklyn,11207
23,24,2015-01-17,DOG,Chihuahua,0.5833333333333334,M,False,Brooklyn,11213
24,25,2015-01-21,DOG,Yorkshire Terrier,0.6666666666666666,M,False,Brooklyn,11206
25,26,2015-01-22,DOG,Labrador Retriever,5.0,M,True,Brooklyn,11229
26,27,2015-01-24,DOG,"Jindo Dog,",,U,False,Brooklyn,11226
27,28,2015-01-27,DOG,Jack Russ,11.0,M,False,Brooklyn,11217
28,29,2015-01-25,DOG,Chow Chow,,U,False,Brooklyn,11209
29,30,2015-01-25,DOG,Chihuahua,1.0,F,False,Brooklyn,11213
30,31,2015-01-25,DOG,"Mastiff, Bull",,U,False,Brooklyn,0
31,32,2015-01-20,DOG,PIT BULL/GOLDEN RETRIVE X,,U,False,Brooklyn,11236
32,33,2015-01-29,DOG,Pit Bull,,U,False,Brooklyn,0
33,34,2015-01-31,DOG,Chihuahua Crossbreed,3.0,M,False,Brooklyn,0
34,35,2015-01-31,DOG,German Shepherd Crossbreed,,F,False,Brooklyn,11220
35,36,2015-01-31,DOG,,,U,False,Brooklyn,0
36,37,2015-01-23,DOG,German Shepherd,4.0,M,False,Brooklyn,11229
37,38,2015-01-31,DOG,,,U,False,Brooklyn,0
38,39,2015-02-04,DOG,Pomeranian,1.0,F,False,Brooklyn,11216
39,40,2015-02-05,DOG,Dalmatian,10.0,M,True,Brooklyn,11214
40,41,2015-02-01,DOG,Rottweiler,,U,False,Brooklyn,11204
41,42,2015-02-04,DOG,Rottweiler,,U,False,Brooklyn,11220
42,43,2015-02-06,DOG,Shiba Inu,3.0,M,False,Brooklyn,11252
43,44,2015-02-07,DOG,Maltese,,U,False,Brooklyn,11215
44,45,2015-02-07,DOG,Pit Bull,5.0,M,True,Brooklyn,11214
45,46,2015-01-27,DOG,,,U,False,Brooklyn,11205
46,47,2015-02-06,DOG,Dachshund Smooth Coat,,U,False,Brooklyn,0
47,48,2015-01-27,DOG,"Poodle, Standard",,U,False,Brooklyn,11214
48,49,2015-02-10,DOG,"Welsh Corgi, Pembroke",,U,False,Brooklyn,11204
49,50,2015-02-07,DOG,Shiba Inu,,M,False,Brooklyn,11206
50,51,2015-02-07,DOG,RAT TERRIER,5.0,M,True,Brooklyn,11208
51,52,2015-01-27,DOG,American Pit Bull Terrier/Pit Bull,2.0,M,False,Brooklyn,11228
52,53,2015-02-11,DOG,Staffordshire Bull Terrier,4.0,M,False,Brooklyn,11235
53,54,2015-02-11,DOG,RAT TERRIER,13.0,F,True,Brooklyn,11209
54,55,2015-02-09,DOG,American Pit Bull Terrier/Pit Bull,10.0,F,True,Brooklyn,11232
